	elu0	elu30	elu60	elu90	elu120	elu150	elu180	elu210	elu240	elu270	elu300	elu330	elu360	elu390
YNL106C	-0.43	0.17	-0.91	0.38	-0.16	-0.01	0	0.31	0.19	0.33	-0.22	0.3	-0.16	0.2
YNL107W	0.13	0.24	-0.16	0.01	0.17	0.01	-0.21	-0.02	-0.23	-0.06	0.14	0.08	-0.12	0.04
YNL108C	-0.01	-0.16	0.02	-0.08	0.07	0.18	0.04	0	0.02	0.02	-0.1	-0.05	0.15	-0.1
YNL109W	0.14	0.13	-0.14	-0.07	0.17	-0.01	-0.03	-0.07	-0.12	0.14	0.05	-0.29	-0.07	0.14
YNL110C	-0.71	-0.26	1.13	0.7	0.97	0.64	0.19	-0.22	-0.36	-0.22	0.18	-0.77	-0.63	-0.63
YNL111C	-1.26	0.31	0.24	0.35	0.32	0.05	-0.26	0.07	-0.16	0.44	0.22	-0.26	-0.13	0.08
YNL112W	-1.26	-0.57	-0.09	1.09	1.33	0.99	0.44	0.2	-0.43	0.28	-0.22	-0.76	-0.65	-0.34
YNL113W	-0.7	-0.4	-0.25	0.25	0.58	0.89	0.07	0.1	0.04	0.02	0.18	-0.48	-0.36	0.04
YNL114C	-0.76	0.1	0.04	0.58	0.76	0.76	0.3	0.12	-0.08	0.05	-0.35	-0.98	-0.44	-0.12
YNL115C	0.6	0.61	0.14	0.19	-0.33	-0.25	-0.33	-0.06	0.02	-0.32	-0.14	0.18	-0.28	-0.03
YNL116W	0.32	0.27	-0.13	0.03	-0.25	-0.08	0.01	0.21	0.04	-0.21	-0.13	-0.1	-0.06	0.07
YNL117W	-1.03	0.42	-0.51	-0.24	-1.29	-1.09	-0.64	0.52	1.05	0.64	0.15	0.73	1.04	0.25
YNL118C	0.76	-0.17	-0.31	0.03	-0.17	-0.31	-0.21	0.09	0.33	-0.02	-0.25	0.14	0.2	-0.13
YNL119W	-0.69	-0.46	-0.09	0.19	0.63	0.62	0.13	0.25	0.16	0.03	0.07	-0.25	-0.19	-0.41
YNL120C	-0.23	-0.18	-0.09	0.11	0.55	0.26	0.24	0.13	0.03	0.17	0.01	-0.21	-0.58	-0.21
YNL121C	0.24	-0.3	-0.22	-0.02	-0.02	-0.18	0.31	0.04	0.08	0.16	0.2	0.17	-0.2	-0.25
YNL122C	0.17	-0.3	0.1	-0.13	0.08	-0.21	-0.01	0.01	-0.07	-0.01	-0.09	0.34	0.25	-0.15
YNL123W	-0.89	-0.35	-0.4	-0.1	0.12	0.43	0.23	0.04	0.31	0.45	0.14	0.18	-0.15	-0.01
YNL124W	-0.54	-0.41	-0.22	0.66	0.82	0.66	0.33	-0.04	-0.17	-0.06	-0.09	-0.47	-0.33	-0.14
YNL125C	-0.23	-0.21	-0.15	0.04	0.19	-0.02	-0.02	0.11	0.02	0.15	0.15	0.02	0.03	-0.08
YNL126W	-0.76	-0.48	-0.41	0.08	0.37	0.62	0.69	0.53	0.15	0.2	0.03	-0.1	-0.53	-0.38
YNL127W	0.18	-0.16	0.01	-0.09	-0.05	0.13	0.07	-0.12	-0.14	-0.09	0.21	0.11	-0.12	0.05
YNL128W	0.17	-0.32	0.05	0.25	0.48	0.09	0.15	0.13	0.15	0.09	-0.22	-0.65	-0.35	-0.03
YNL129W	-0.82	-0.16	0.5	0.26	0.18	-0.11	0.46	0.11	-0.01	-0.18	0.49	0.04	-0.89	0.11
YNL130C	-0.61	-0.03	0.11	0.29	0.27	0.07	0.38	0.14	0.02	-0.17	-0.33	-0.03	0.08	-0.19
YNL131W	-0.15	0.03	-0.37	-0.37	-0.14	0.13	-0.2	0.08	0.02	0.09	0.48	0.15	0.02	0.21
YNL132W	-1.54	-0.37	-0.13	0.38	0.77	0.67	0.46	0.12	-0.06	0.32	-0.04	-0.11	-0.41	-0.06
YNL133C	0.42	0.04	0.19	-0.28	0.01	0.12	0.03	-0.14	-0.18	-0.08	0.1	0.08	-0.19	-0.11
YNL134C	0.75	0.3	0.58	0.43	-0.2	-0.61	-0.29	-0.14	0.02	-0.35	-0.54	0.1	0.07	-0.12
YNL135C	-0.26	-0.28	-0.5	-0.07	-0.28	-0.25	-0.43	0.21	0.34	0.33	0.13	0.33	0.31	0.43
YNL136W	0.61	-0.26	-0.04	0.16	0.06	-0.28	-0.1	-0.15	0.08	0.03	-0.19	-0.02	0.1	0
YNL137C	-0.06	-0.5	-0.46	0.17	0.19	0.16	0.08	0.06	0.16	0.07	0.15	0.26	-0.2	-0.09
YNL138W	0.27	-0.46	-0.04	-0.1	-0.24	-0.3	0.01	0.18	0.26	0.1	-0.14	0.26	0.15	0.04
YNL139C	-0.15	-0.06	-0.32	-0.15	-0.26	0.01	0.04	-0.01	0.41	0.46	-0.09	0.15	-0.15	0.11
YNL140C	-0.41	-0.11	0.26	-0.24	0.23	-0.11	0.16	0.15	0.15	0.09	-0.17	0.12	-0.12	0
YNL141W	-1.21	-0.39	-0.46	0.38	0.96	1.02	0.26	-0.16	0.05	0.44	0.12	-0.49	-0.51	-0.01
YNL142W	-0.15	-0.1	-0.1	-0.1	0.29	-0.13	-0.08	0	0.12	0.03	-0.49	0.11	0.34	0.27
YNL143C	0.53	-0.01	0.25	-0.11	-0.02	0.12	0.08	-0.34	-0.2	-0.2	0.14	-0.34	0.37	-0.27
YNL144C	1.7	0.07	0.18	-0.31	0.16	-0.51	-0.34	0.03	-0.17	-0.42	-0.26	0.22	-0.14	-0.21
YNL145W	-0.88	-0.41	-0.02	0.46	0.44	0.22	-0.09	-0.48	0.02	0.28	0.07	0.4	-0.05	0.05
YNL146W	0.26	0.24	0.24	0.02	0.06	-0.35	0.06	-0.03	0.01	-0.3	-0.05	0.1	-0.28	0.02
YNL147W	0.31	-0.32	-0.07	-0.11	-0.09	0.17	-0.07	-0.01	0.11	-0.21	0.27	-0.03	0.17	-0.11
YNL148C	-0.49	-0.05	0.12	0.03	0.19	-0.26	-0.02	-0.03	0.12	0.03	-0.16	0.08	0.39	0.05
YNL149C	-0.73	0.22	0.19	-0.08	0.11	0.21	-0.32	0.17	0.04	0.16	0.19	-0.09	-0.12	0.05
YNL150W	-0.41	0.12	0.01	0.13	0.18	-0.1	0.18	0.26	-0.11	-0.1	0.18	-0.13	-0.32	0.12
YNL151C	-0.65	-0.15	-0.25	0.04	0.36	0.3	0.08	0.08	-0.11	0.25	0.14	-0.11	0.02	-0.01
YNL152W	0.31	-0.38	0.18	-0.06	-0.05	-0.17	0.04	0.33	-0.05	0.02	-0.03	0.09	-0.14	-0.1
YNL153C	0.21	0.3	-0.14	-0.11	0.31	-0.23	-0.29	0.09	-0.21	-0.05	0.1	0.07	-0.11	0.07
YNL154C	0.09	-0.37	0.03	0.28	0.32	0.19	0.16	0.09	-0.1	-0.03	0.01	-0.16	-0.16	-0.37
YNL155W	0.14	0.51	-0.13	0.1	-0.25	-0.2	-0.12	-0.1	-0.15	-0.06	0.05	0.12	0.13	-0.04
YNL156C	0.66	0.06	0.12	0.13	-0.1	-0.2	-0.12	-0.03	-0.1	-0.33	-0.1	0.05	-0.06	0.03
YNL157W	1.19	0.03	-0.57	-0.02	-0.21	-0.23	-0.05	0.06	-0.13	-0.08	-0.04	0.14	-0.07	-0.02
YNL158W	0.42	-0.19	0.31	0.14	0.19	-0.12	-0.03	0.09	-0.03	-0.3	-0.02	-0.07	-0.24	-0.17
YNL159C	0.68	0.42	-0.19	-0.05	-0.31	-0.24	0.01	-0.08	-0.34	-0.31	0.27	-0.01	-0.23	0.37
YNL160W	1.68	0.63	1.05	1.03	-0.23	-1.03	-0.82	-0.77	-0.46	-0.5	-0.52	0.05	-0.2	0.08
YNL161W	-0.12	-0.25	-0.27	0.26	0.07	0.17	-0.09	0.23	0.27	-0.84	0.14	0.29	0.07	0.06
YNL162W	-0.66	-0.29	0.23	0.36	0.43	0.11	0.25	0.32	0.15	0.01	-0.18	-0.15	-0.25	-0.31
YNL163C	-1.18	0.02	0.11	0.2	0.57	0.45	-0.04	0.01	0.05	0.1	0.02	-0.21	-0.27	0.16
YNL164C	-0.6	0.09	0.11	0.02	0.28	0.13	0.13	0.21	0	0.06	-0.03	-0.3	-0.13	0.04
YNL165W	-0.47	-0.06	-0.08	0.04	0.35	0.53	0.2	0.38	-0.2	-0.08	-0.1	-0.18	-0.45	0.13
YNL166C	-0.9	-0.36	-0.15	0.28	0.6	0.47	0.62	0.62	0.05	0.04	-0.06	-0.13	-0.84	-0.26
YNL167C	0.39	-0.53	-0.39	-0.39	-0.05	-0.14	0.15	0.02	0.28	0.25	-0.05	0.12	0.42	-0.07
YNL168C	0.29	-0.09	-0.11	-0.44	-0.18	-0.52	-0.31	0.27	0.26	0.05	-0.13	0.39	0.3	0.22
YNL169C	-1.07	-0.39	-0.48	-0.27	-0.13	0.48	0.28	0.45	0.16	0.19	0.17	0.48	0.04	0.1
YNL170W	-0.77	-0.16	0.01	-0.39	0.19	-0.11	0.21	0.29	0.16	0.17	0.32	0.23	-0.07	-0.07
YNL171C	-0.3	0.11	-0.19	-0.28	-0.17	0.16	-0.03	0.04	0.02	0.09	0.24	0.19	0.06	0.07
YNL172W	-0.7	-0.08	-0.06	-0.08	-0.2	-0.1	-0.2	0.04	0.25	0.38	0.12	0.38	0.08	0.16
YNL173C	0.24	0.29	-0.21	-0.1	-0.71	-0.91	-0.32	-0.15	0.13	-0.12	0.21	0.45	0.75	0.45
YNL174W	-0.85	-0.47	0.07	0.58	1.11	0.48	0.32	0.09	-0.25	0.05	-0.03	-0.57	-0.32	-0.21
YNL175C	-1.7	-0.14	-0.1	0.41	0.82	0.56	0.17	0.1	0.02	0.51	0.36	-0.33	-0.7	0.03
YNL176C	0.26	-0.5	-0.02	0.08	0.45	-0.11	-0.04	0.19	0.01	0.13	-0.17	0.08	-0.15	-0.21
YNL177C	0.19	-0.08	-0.14	-0.01	-0.25	-0.27	0.09	0.12	0.11	0.16	0.17	-0.11	0.05	-0.03
YNL178W	-0.53	-0.7	0.29	0.11	-0.04	0.21	0.16	0.39	0.09	0.41	0.2	0.09	-0.3	-0.38
YNL179C	0.42	-0.03	0.11	0.3	-0.14	-0.07	0.11	-0.17	-0.28	-0.34	-0.13	-0.38	0.46	0.13
YNL180C	-0.83	-0.44	0.62	0.28	-0.09	-0.11	-0.25	-0.04	0.01	-0.01	-0.15	-0.04	0.62	0.44
YNL181W	0.21	-0.1	-0.27	-0.24	-0.04	-0.33	0.03	0.28	0.13	0.05	0.19	-0.12	0.01	0.19
YNL182C	-1.3	-0.34	0.13	0.62	1	0.64	0.3	-0.05	-0.13	0.39	0.04	-0.39	-0.54	-0.39
YNL183C	0.6	0.14	0.12	-0.15	-0.35	-0.26	-0.37	0.14	-0.12	0.16	-0.17	0.18	0.04	0.05
YNL184C	-0.11	-0.48	-0.1	-0.16	-0.07	0.01	-0.08	0.12	-0.07	0.14	0.16	0.23	0.3	0.09
YNL185C	-0.03	-0.6	-0.5	-0.17	-0.06	0.01	-0.06	0.25	0.25	0.26	0.27	0.32	0.16	-0.08
YNL186W	-0.36	0.04	-0.01	0.21	0.36	0.04	0.29	0.13	-0.05	0.16	-0.31	-0.21	-0.09	-0.21
YNL187W	-0.34	-0.34	-0.06	0.23	0.34	-0.03	-0.12	-0.12	0.28	0.15	-0.25	0.2		0.07
YNL188W	-0.66	-0.39	0.1	-0.09	0.43	-0.11	0.14	0.14	0.22	0.14	-0.09	0.16	0.03	-0.04
YNL189W	-0.07	-0.3	-0.14	-0.12	0.02	-0.07	-0.3	0.24	0.24	0.28	-0.26	0.15	0.28	0.04
YNL190W	-0.14	-0.22	-0.27	0.27	-0.24	0.01	-0.02	0.01	0.3	0.25	-0.1	0.22	0.15	-0.22
YNL191W	0.01	-0.66	0	-0.12	0.17	0.31	-0.08	0.45	0.49	0.42	0.07	-0.22	0	-0.82
YNL192W	0.9	-1.55	-0.94	-0.76	-0.46	-0.41	-0.36	-0.31	0.15	0.55	0.19	1.33	1.19	0.47
YNL193W	0.13	-0.37	-0.26	-0.13	-0.3	0.03	0.1	0.34	0.45	0.13	0.16	0.15	0.01	-0.46
YNL194C	1.92	0.71	0.26	-0.41	-1.5	-1.5	-0.71	0.1	0.6	-0.85	-0.65	0.91	0.75	0.37
YNL195C	0.95	0.37	0.6	-0.1	-1.18	-1.08	-0.56	0.17	0.57	-0.7	-0.91	0.48	1.16	0.23
YNL196C	0.16	-0.1		-0.26	-0.18	-0.07	-0.02	0.09	0.3	-0.07	-0.15	0.2	-0.21	0.3
YNL197C	0.1	-0.58	0.1	-0.03	-0.13	0.05	0.09	0.1	0.06	0.36	0.23	-0.14	-0.08	-0.13
YNL198C	0.53	0	0.24	-0.09	0.05	0.04	0.26	0	-0.17	-0.25	0.26	-0.71	-0.38	0.2
YNL199C	0.49	-0.43	0.32	-0.03	0.03	-0.1	-0.14	0.15	-0.19	-0.06	0.04	-0.13	-0.08	0.14
YNL200C	1.72	0.35	0.25	-0.31	-0.98	-0.78	-0.6	-0.11	0.17	-0.18	-0.31	0.18	0.33	0.27
YNL201C	-0.25	-0.31	-0.29	0.37	0.05	0.35	0.05	0.32	0.08	0.44	0.05	0.02	-0.98	0.12
YNL202W	0.15	-0.15	0.02	-0.17	-0.47	-0.43	-0.26	-0.04	0.01	0.05	-0.02	0.17	0.63	0.51
YNL203C	0.09	-0.46	-0.82	-0.21	-0.32	-0.23	-0.19	0.13	0.24	0.05	0.08	0.34	0.71	0.61
YNL204C	0	-0.2	0	-0.11	0	0.11	0.06	-0.03	0.16	0.08	0	-0.38	0.11	0.18
YNL205C	-0.4	-0.31	-0.13	0.24	0.39	0.09	0.04	0.17	0	0.27	0.24	0.02	-0.52	-0.11
YNL206C	-0.27	-0.29	-0.01	0.02	0.15	0.24	0.22	0.25	0.01	0.24	0.16	-0.51	-0.14	-0.06
YNL207W	0.17	-0.29	0.03	0.37	-0.21	0.2	0.08	0.37	-0.05	0.02	-0.25	-0.02	-0.43	0.02
YNL208W	0.64	0.47	0.41	-0.07	-0.3	-0.84	-0.68	-0.57	-0.31	-0.08	-0.12	0.28	0.65	0.52
YNL209W	-1.15	-0.72	-0.3	0.01	0.43	0.28	0.21	0.38	0.43	0.36	-0.18	0.45	-0.27	0.07
YNL210W	0.22	-0.23	-0.33	0.15	0.44	0.54	0.32	0.17	-0.1	-0.25	-0.02	-0.57	-0.4	0.04
YNL211C	0.35		-0.09	0	0.19	0.29	0.16	0.09	0	-0.25	-0.01	-0.45	-0.29	
YNL212W	0.03	-0.12	-0.23	-0.25	-0.27	-0.29	0.03	-0.19	0.43	0.24	-0.39	0.38	0.7	-0.08
YNL213C	-0.03		-0.66	-0.15	-0.13	0.31	-0.15	0.19	0.36	0.2	-0.09	-0.3	0.31	0.12
YNL214W	0.39	0.2	-0.01	-0.34	-0.05	-0.09	0.07	0.14	0.09	0.14	0.05	0.42	-1.03	0.01
YNL215W	0.24	-0.04	-0.53	0.11	-0.1	0.36	-0.26	0.32	0.2	0.02	-0.3	-0.15		0.13
YNL216W	-0.29	-0.43	-0.57	-0.27	0.01	-0.07	0.01	0.35	0.45	0.75	-0.29	0.32		0.04
YNL217W	-0.74	-0.01	-0.31	0.17	-0.09	0.08	-0.33	0.21	0.11	0.23	-0.31	0.29	0.58	0.11
YNL218W	-0.69	-0.05	-0.12	-0.1	0.09	0.42	-0.01	0.24	0.18	0.09	-0.18	0.24	-0.07	-0.05
YNL219C	-0.18	-0.48	-0.26	-0.24	-0.03	0.26	-0.07	0.24	0.26	0.17	0.2	0.12	-0.14	0.15
YNL220W	0.03	0.01	-0.49	-0.17	-0.21	-0.16	-0.26	-0.05	0	0.32	0.39	0.45	0.04	0.1
YNL221C	-0.69	-0.36	0.15	0.6	-0.05	0.16	-0.25	0.52	-0.03	0.28	-0.26	0.25	-0.57	0.25
YNL222W	0.13	-0.04	-0.22	0.1	0.37	0.47	0.07	0.01	-0.24	-0.33	-0.06	-0.2	0.01	-0.08
YNL223W	1.05	-0.36	0.09	0.09	-0.47	-0.56	-0.18	0.06	-0.26	-0.14	0.28	0.19	0.1	0.1
YNL224C	0.88	0.11	0.24	0.2	0.13	-0.15	-0.5	-0.15	-0.29	-0.24	-0.16	-0.18	0.21	-0.09
YNL225C	0.06	-0.77	0.59	0.08	0.29	0.08	0.16	0.17	-0.04	-0.33	0.38	-0.2	-0.33	-0.13
YNL226W	0.01	-0.11	0.18	0.25	0.47	0.26	-0.05	-0.09	-0.03	-0.32	0.23	-0.5	-0.24	-0.07
YNL227C	-0.4	-0.22	0.58	0.66	0.67	0.42	0.24	-0.2	-0.49	-0.17	0.27	-0.29	-0.88	-0.18
YNL228W	-0.43	1.42	0.03	0.38	0.48	0.17	-0.14	-0.2	-0.3	-0.16	0.01	-0.57	-0.24	-0.45
YNL229C	0.25	-0.19	-0.87	0.13	-0.09	0.02	-0.31	0.28	0.08	0.14	0.28	0.16	0.13	-0.01
YNL230C	0.82	0.18	0.35	0.49	0.06	0.04	0.03	-0.31	-0.46	-0.29	0.04	-0.39	-0.27	-0.29
YNL231C	-0.37	-0.16	-0.12	0.37	0.61	0.43	0.04	0.06	-0.29	0.13	0.26	-0.19	-0.41	-0.35
YNL232W	-0.36	-0.21	0.07	0.25	0.41	0.18	0.07	0.08	0.01	-0.24	0.1	-0.15	-0.12	-0.07
YNL233W	-1.01	-0.52	-0.36	-0.12	0.44	0.69	0.21	0.49	0.15	0.28	0.06	0.15	-0.5	0.02
YNL234W	0.31	0.19	0.1	-0.05	0.08	0.1	0.16	0.22	-0.27	-0.03	-0.11	-0.01	-0.92	0.24
YNL235C	-0.23	-0.14	0.02	-0.09	0.29	0.02	-0.01	-0.09	-0.13	-0.09	0.19	0.15	0.09	0.02
YNL236W	-0.08	0.09	-0.38	0.06	0.05	-0.13	0.14	-0.15	0.17	0.11	-0.19	0.48		-0.19
YNL237W	0.82	0.16	-0.09	0.04	-0.68	-0.9	-0.65	-0.04	0.35	-0.04	-0.35	0.45	0.45	0.49
YNL238W	-0.05	-0.53	-0.57	-0.62	-0.15	0.14	0.11	0.56	0.56	0.25	0.03	0.31	0.21	-0.26
YNL239W	-0.16	0.16	-0.01	-0.37	-0.2	-0.21	-0.35	-0.1	0.07	0.1	0.08	0.31	0.41	0.27
YNL240C	-0.09	-0.06	0.68	0.02	0.18	0.12	0.11	0.14	-0.1	-0.19	-0.29	-0.28	-0.12	-0.12
YNL241C	0.04	-0.04	-0.13	-0.07	-0.01	0.08	0.04	0.1	0.17	0.02	-0.22	0.13	-0.04	-0.07
YNL242W	0.42	-0.02	-0.11	0.26	0.2	0.03	0.14	-1.89	0.42	0.25	0.46	0.09	-0.51	0.28
YNL243W	-0.48	-0.29	-0.44	-0.01	-0.2	0.04	-0.12	-0.46	0.62	0.51	-0.44	0.5	0.45	0.34
YNL244C	-0.32	-0.42	-0.44	-0.06	0.28	0.15	-0.02	0.14	0.28	0.12	-0.02	0.39	0.12	-0.21
YNL245C	-0.59	-0.06	0.04	-0.06	0.04	-0.13	-0.24	0.21	0.01	0.21	0.06	0.01	0.16	0.32
YNL246W	-0.33	-0.08	-0.01	0.02	-0.08	-0.14	0.02	0.05	0.35	-0.01	0.05	0.18	-0.03	0.01
YNL247W	-1.58	-0.13	0.03	0.12	0.04	0.13	0.05	0.37	0.09	0.44	0.21	0.04	0.11	0.08
YNL248C	-1.26	-0.11	0.14	0.81	0.97	0.85	0.47	-0.09	-0.36	0.13	0.29	-0.81	-0.65	-0.38
YNL249C	-0.18	0.34	0.21	0.26	0.19	0.05	-0.04	-0.21	-0.25	-0.09	0.3	-0.14	-0.51	0.07
YNL250W	-0.18	0.02	-0.01	0.18	0.31	0.25	-0.12	-0.16	-0.16	0.05	-0.1	-0.16	0.13	-0.05
YNL251C	-0.89	0.51	-0.01	0.66	0.07	0.12	0.11	0.15	-0.15	-0.16	-0.32	0.07	-0.23	0.08
YNL252C	0.59	-0.34	-0.11	-0.02	0.1	0.01	-0.02	-0.08	-0.29	0.1	0.07	0.07	0.13	-0.21
YNL253W	-0.02	-0.09	0.15	0.26	0.07	-0.11	-0.18	0.13	-0.13	-0.28	0.37	-0.06	-0.15	0.04
YNL254C	-0.69	-0.12	0.08	0.27	0.59	0.27	0.15	0.06	-0.47	0	-0.05	-0.14	0	0.03
YNL255C	-0.81	-0.22	-0.36	0.2	0.29	0.1	0.05	0.45	0.03	0.25	0.31	0.01	-0.29	-0.02
YNL256W	-0.85	-0.13	0.03	0.33	0.43	0.49	0.54	0.12	0.09	-0.04	0.14	-0.27	-0.62	-0.27
YNL257C	-0.18	-0.02	-0.43	-0.17	-0.01	0.08	-0.09	0.24	0.11	0.21	-0.08	-0.18	0.34	0.2
YNL258C	0.44	-0.16	-0.12	0.1	0.08	-0.05	-0.26	-0.18	0.13	-0.16	-0.1	0.18	0.34	-0.22
YNL259C	-0.2	-0.32	-0.2	0	0.22	0.05	-0.18	0.2	0.05	-0.04	-0.05	0.25	0.13	0.1
YNL260C	0.02	0.36	0	-0.1	0.29	0.23	-0.06	0.07	-0.35	-0.13	0.2	-0.3	-0.11	-0.11
YNL261W	-0.45	0.02	-0.11	0.45	0.53	0.4	0.2	-0.08	-0.01	-0.17	-0.06	-0.26	-0.38	-0.09
YNL262W	-1.01	-0.66	-0.43	0.14	0.58	0.72	0.54	-0.19	0.25	0.25	0.25	-0.01	-0.43	0
YNL263C	-0.74	-0.62	-0.53	-0.39	0.24	0.32	0.08	0.48	0.32	0.14	-0.04	0.21	0.23	0.29
YNL264C	0.29	0	-0.19	-0.62	-0.37	0.09	0.15	0.24	0.06	-0.16	-0.03	0.19	0.38	-0.03
YNL265C	0.67	-0.3	-0.22	-0.05	0.16	0.13	-0.2	-0.02	-0.04	-0.2	0.2	0.05	-0.16	0
YNL266W	1	0.32	-0.13	-0.52	-0.22	-0.31	-0.15	0.09	0.05	-0.29	0.19	0.12	0.14	-0.31
YNL267W	0.35	-0.42	-0.24	-0.2	-0.05	0.12	-0.24	0.14	0.07	0.2	0.07	0.07	0.06	0.06
YNL268W	0.12	0	-0.18	-0.27	0.11	0.19	0.23	0.05	0.09	-0.06	-0.04	-0.01	-0.06	-0.18
YNL269W	-0.14	-0.14	-0.02	-0.08	0.11	-0.28	0.03	0.37	-0.41	0.63	0.34	0.3	-0.73	0.01
YNL270C	-0.77	0.14	-0.37	-0.14	-0.37	-0.41	0.06	0.25	0.45	0.1	0	0.33	0.52	0.2
YNL271C	-0.14	-0.29	-0.06	0.08	0.02	-0.26	-0.06	-0.02	0.42	0.13	-0.2	0.09	0.27	0
YNL272C	0.11	-0.38	-0.17	0.26	0.31	0.16	0.15	0.15	-0.12	0.04	0.15	-0.25	-0.38	-0.03
YNL273W	-1.19	-0.49	-0.15	0.22	0.3	0.26	0.33	0.44	0.12	0.23	-0.1	0.1	-0.23	0.17
YNL274C	0.73	-0.33	-0.1	0.2	-0.52	-0.44	-0.14	-0.02	0.19	-0.46	-0.24	0.28	0.56	0.28
YNL275W	-0.4	-0.2	-0.19	0.19	-0.03	-0.15	-0.07	0.23	0.09	0.31	0.23	0.29	-0.38	0.08
YNL276C	0.12	0.44	0.41	0.29	0.12	-0.05	-0.17	-0.22	-0.08	0	-0.2	-0.29	-0.2	-0.15
YNL277W	-0.34	0.46	0.03	0.28	0.32	-0.15	-0.08	-0.02	-0.08	0.13	-0.1	-0.16	-0.32	0.04
YNL278W	-0.45	-0.69	-0.41	-0.24	-0.01	0.1	0.37	0.16	0.24	0.42	0.42	0.34	-0.28	0.04
YNL279W	-0.08	-0.14	0.44	-0.17	0.37	0.08	-0.19	0.23	-0.17	-0.12	0.2	-0.21	-0.44	0.19
YNL280C	-0.39	0.23	0.31	0.37	0.37	-0.09	0.17	-0.16	-0.35	-0.25	-0.06	-0.09	-0.12	0.06
YNL281W	-0.22	-0.15	-0.4	0.08	0.07	0.02	-0.26	0.12	0.23	0.07	0.07	0.04	0.12	0.2
YNL282W	-0.48	-0.06	0.14	-0.02	0.33	0.25	0.21	0.22	-0.02	-0.29	-0.14	-0.02	-0.18	0.05
YNL283C	-1.27	-1.19	-0.86	-0.89	0.09	0.46	0.63	0.92	0.67	0.73	0.44	0.39	-0.21	0.1
YNL284C	0.3	-0.25	-0.19	-0.29	-0.27	0.08	0.17	0.37	0.01	-0.11	0.18	0.13	-0.14	0.01
YNL285W	0.32	0.04	-0.02	-0.29	0.29	0.14	0.03	-0.01	-0.08	-0.43	0.25	-0.06	-0.17	-0.01
YNL286W	0.68	0	0.17	-0.05	-0.23	-0.02	0.03	0.05	0	-0.25	0	-0.1	-0.21	-0.08
YNL287W	-0.04	-0.29	-0.23	-0.38	0.03	0.21	0.06	0.12	0.2	0.09	0.3	0.17	-0.15	-0.09
YNL288W	0.84	0.05	-0.22	0.05	-0.22	-0.04	0.09	0.16	0.02	-0.11	-0.11	-0.11	-0.41	0.02
YNL289W	-0.23	-0.58	-0.47	-0.14	0.22	0.27	0.04	0.26	0.07	0.1	0	0.11	0.21	0.16
YNL290W	-0.35	-0.33	-0.42	0.06	0.2	0.2	0.26	0.39	0.07	0.06	0.07	0.12	-0.27	-0.06
YNL291C	0.7	-0.14	-0.18	0.5	0.29	0.27	0.53	-0.11	-0.18	-0.24	0.47	-0.6	-1	-0.3
YNL292W	0.22	-0.14	-0.34	0.17	0.46	0.3	0.49	0.06	-0.35	-0.16	-0.04	-0.11	-0.41	-0.16
YNL293W	0.19	-0.11	0.02	-0.32	0.04	-0.4	-0.2	-0.2	0.14	-0.02	0.11	0.33	0.19	0.23
YNL294C	0.69	-0.25	0.01	0.31	-0.16	-0.25	-0.07	-0.07	-0.09	-0.21	0.01	0.11	-0.02	0
YNL295W	0.32	-0.25	0.14	0.25	-0.11	-0.24	-0.16	0.07	0.04	0.2	-0.04	-0.03	-0.39	0.21
YNL296W	0.78	-0.28	-0.03	-0.39	-0.06	-0.19	-0.1	0.05	0.22	0.08	0.23	0.12	-0.57	0.13
YNL297C	0.03	-0.09	0.29	-0.01	-0.18	-0.23	0.22	0.03	-0.06	0.15	-0.15	-0.04	-0.21	0.24
YNL298W	-0.37	-0.28	-0.04	0.21	0.3	0.16	0.05	0.07	0.05	-0.04	-0.02	-0.12	0.03	-0.01
YNL299W	-0.87	-0.21	0.1	0.26	1	0.25	-0.03	0.12	0.07	0.29	0.25	-0.05	-1.21	0.04
YNL300W	-0.47	-0.7	-0.24	-0.03	0.44	0.58	0.54	0.26	0.12	-0.04	-0.02	-0.18	-0.06	-0.18
YNL301C	-0.94	-0.16	-0.91	0.21	0.72	0.42	0.16	0.47	-0.11	0.2	0.2	-0.23	0.02	-0.02
YNL302C	-0.75	-0.17	0.37	0.6	0.64	0.36	0.34	0.18	-0.11	-0.04	-0.26	-0.2	-0.51	-0.45
YNL303W	-0.8	-0.31	-0.14	0.51	0.55	0.59	0.19	0.14	0.11	-0.07	0.45	-0.18	-0.74	-0.29
YNL304W	0.19	-0.29	-0.16	0.32	0.42	0.16	0.33	0.16	-0.3	-0.14	-0.01	-0.19	-0.34	-0.14
YNL305C	1.21	-0.21	0.01	-0.02	-0.17	-0.4	-0.31	-0.21	-0.11	-0.4	-0.08	0.12	0.21	0.36
YNL306W	0.32	-0.24	-0.1	-0.16	-0.02	-0.22	0.15	0.08	0.02	-0.25	0.09	0.2	0.09	0.05
YNL307C	-0.61	0.7	-0.61	-0.65	-0.27	-0.12	-0.1	0.24	0.41	0.41	-0.1	0.36	0.13	0.21
YNL308C	-0.28	-0.08	0.11	0.38	0.68	0.34	0.26	-0.1	-0.13	-0.1	0.06	-0.6	-0.32	-0.24
YNL309W	-0.42	-0.17	-0.14	-0.01	0.72	0.56	0.31	0.14	0.05	-0.09	0.09	-0.25	-0.69	-0.09
